Source,Country,Headline,Risk_Delta,Alert
BBC,"Iran, Islamic Rep.",Bowen: Trump has called for an Iran uprising but the lessons from Iraq,0.08,🟡 CAUTION
BBC,El Salvador,Countries agree to record release of emergency oil reserves as prices ,0.08,🟡 CAUTION
BBC,El Salvador,'Even under missiles we carry on living' - how young Iranians are copi,0.24,🔴 HIGH RISK
BBC,El Salvador,EU and UK demand Israel stop surge in West Bank settler violence since,0.24,🔴 HIGH RISK
BBC,British Virgin Islands,Ukraine says it has hit Russian 'missile component' plant,0.16,🔴 HIGH RISK
BBC,El Salvador,French aid worker among three killed in drone strikes in rebel-held DR,0.08,🟡 CAUTION
BBC,British Virgin Islands,Large WW2 bomb defused after Dresden evacuated,0.16,🔴 HIGH RISK
BBC,New Caledonia,Woman charged with attempted murder after shooting at Rihanna's home,0.08,🟡 CAUTION
BBC,El Salvador,'I just want to be able to sleep': Attacks in Iran rock cities and cut,0.08,🟡 CAUTION
BBC,Central African Republic,War expands to central Beirut as Israeli strike kills Iranians in luxu,0.4,🔴 HIGH RISK
BBC,East Asia & Pacific,Why air strikes on Tehran oil facilities are causing black rain,0.16,🔴 HIGH RISK
BBC,United States,Mixed messages from Trump leave more questions than answers over war's,0.08,🟡 CAUTION
BBC,China,Why is China set to approve a new law promoting 'ethnic unity'?,0.08,🟡 CAUTION
BBC,East Asia & Pacific,BBC visits key Dubai port in Iran's firing line,0.08,🟡 CAUTION
BBC,"Iran, Islamic Rep.","US missile hit military base near Iran school, video analysis shows",0.16,🔴 HIGH RISK
BBC,East Asia & Pacific,Watch: Why the Iran war is pushing up oil prices,0.08,🟡 CAUTION
BBC,El Salvador,Watch: Ukrainian anti-drone 'bullet' that could help defend Gulf,-0.06,🟢 POSITIVE
BBC,"Iran, Islamic Rep.",Watch: Huge flames in Tehran after air strikes on oil depots,0.08,🟡 CAUTION
